,Age,dTS,CO2
0,2342,-1.0976744186046512,284.7
1,3634,0.5523255813953489,272.8
2,3833,-0.37,268.1
3,6220,-0.09375,262.2
4,7327,-0.4173469387755102,254.6
5,8113,1.18,259.6
6,10123,-0.5777551020408163,261.6
7,11013,-0.18833333333333335,263.7
8,11326,-0.305,244.8
9,11719,-1.9944444444444445,238.3
10,13405,-3.5937288135593217,236.2
11,13989,-2.3055555555555554,225.3
12,17695,-7.831851851851852,182.2
13,19988,-7.832073170731707,189.2
14,22977,-7.9541176470588235,191.6
15,26303,-7.400740740740741,188.5
16,27062,-8.81956043956044,191.7
17,31447,-7.951395348837209,205.4
18,33884,-7.343975903614458,209.1
19,39880,-6.151168831168832,209.1
20,44766,-7.0840000000000005,189.3
21,47024,-6.7473809523809525,188.4
22,48229,-6.426951219512195,210.1
23,49414,-5.814,215.7
24,51174,-3.890422535211268,190.4
25,57068,-4.194594594594594,221.8
26,57799,-4.96974358974359,210.4
27,63687,-6.412840909090909,195.4
28,65701,-8.468811881188119,191.4
29,66883,-7.7,195.0
30,72849,-5.895365853658537,227.4
31,75360,-5.25,229.2
32,78995,-6.009397590361446,217.1
33,80059,-4.306438356164383,221.8
34,82858,-3.12,231.0
35,84929,-3.1554545454545453,241.1
36,85727,-3.377424242424242,236.4
37,86323,-3.6956521739130435,228.1
38,87180,-4.422394366197183,214.2
39,88051,-4.43986301369863,217.0
40,89363,-5.705454545454545,208.0
41,91691,-4.096176470588236,224.3
42,92460,-4.8261111111111115,228.4
43,95349,-3.3974626865671644,232.1
44,99842,-3.49,225.9
45,100833,-3.423283582089552,230.9
46,101829,-2.441774193548387,236.9
47,103372,-3.770144927536232,228.2
48,105213,-4.247042253521127,236.9
49,106203,-3.596086956521739,230.7
50,108308,-6.71,238.2
51,108994,-6.27,245.7
52,110253,-5.58,251.3
53,111456,-5.68,256.8
54,112577,-5.775555555555556,266.3
55,113472,-4.874736842105263,261.4
56,114082,-4.383513513513513,274.6
57,114738,-4.5172,273.3
58,116175,-2.864179104477612,262.5
59,117519,-1.457377049180328,267.6
