sed rate [m/Myrs],reduction rate [1/Myr]
7.21159,0.00855316
6.24964,0.00989635
5.11456,0.0434519
9.8814,0.0292458
18.0285,0.0593958
20.2162,0.16149
23.5516,0.190784
33.8481,0.151703
25.6641,0.949239
35.5025,0.652348
52.5058,0.739228
45.5021,0.910492
67.2945,2.0954
68.5914,5.13343
76.1843,3.91526
155.864,1.41033
161.93,3.11324
221.878,2.74735
111.601,4.92388
87.0756,14.8575
101.442,30.1744
105.39,12.5761
127.556,5.46458
131.261,11.814
147.189,14.251
183.321,17.9223
263.466,8.64274
209.529,10.4256
256.03,13.6693
207.538,16.149
157.359,29.5521
207.538,28.3458
253.598,21.1735
309.879,13.3874
312.85,17.9223
354.179,19.8904
344.182,26.628
494.653,30.1744
404.812,78.6915
518.831,177.365
1496.68,37.1651
