"Year","Name","Location","Country","Elevation","Type","Volcano Explosivity Index (VEI)","DEATHS"
,,,,,,,
-4360,"Macauley Island","Kermadec Is","New Zealand",238,"Caldera",6,
-4350,"Kikai","Ryukyu Is","Japan",717,"Caldera",7,
-4050,"Masaya","Nicaragua","Nicaragua",635,"Caldera",6,
-4000,"Pago","New Britain-SW Pac","Papua New Guinea",742,"Caldera",6,
-3580,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",6,
-3550,"Pinatubo","Luzon-Philippines","Philippines",1486,"Stratovolcano",6,
-2040,"Long Island","New Guinea-NE of","Papua New Guinea",1280,"Complex volcano",6,
-1900,"Black Peak","Alaska Peninsula","United States",1032,"Stratovolcano",6,
-1890,"Hudson, Cerro","Chile-S","Chile",1905,"Stratovolcano",6,
-1860,"St. Helens","US-Washington","United States",2549,"Stratovolcano",6,
-1750,"Veniaminof","Alaska Peninsula","United States",2507,"Stratovolcano",6,
-1645,"Aniakchak","Alaska Peninsula","United States",1341,"Caldera",6,
-1610,"Santorini","Greece","Greece",329,"Shield volcano",6,
-1550,"Redoubt","Alaska-SW","United States",3108,"Stratovolcano",,
-1460,"Taupo","New Zealand","New Zealand",760,"Caldera",6,
-1370,"Pago","New Britain-SW Pac","Papua New Guinea",742,"Caldera",6,
-1050,"Pinatubo","Luzon-Philippines","Philippines",1486,"Stratovolcano",6,
-250,"Raoul Island","Kermadec Is","New Zealand",516,"Stratovolcano",6,
-197,"Santorini","Greece","Greece",329,"Shield volcano",3,
-150,"St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",270,"Complex volcano",,
-141,"Etna","Italy","Italy",3350,"Stratovolcano",,40
-100,"Okmok","Aleutian Is","United States",1073,"Shield volcano",6,
-50,"Apoyeque","Nicaragua","Nicaragua",518,"Pyroclastic shield",6,
46,"Santorini","Greece","Greece",329,"Shield volcano",3,
50,"Ambrym","Vanuatu-SW Pacific","Vanuatu",1334,"Pyroclastic shield",6,
60,"Bona-Churchill","Alaska-E","United States",5005,"Stratovolcano",6,
79,"Vesuvius","Italy","Italy",1281,"Complex volcano",5,3500
200,"Arhab, Harra of","Arabia-S","Yemen",3100,"Volcanic field",,
230,"Taupo","New Zealand","New Zealand",760,"Caldera",6,
240,"Ksudach","Kamchatka","Russia",1079,"Stratovolcano",6,
350,"Augustine","Alaska-SW","United States",1252,"Lava dome",,
416,"Krakatau","Indonesia","Indonesia",813,"Caldera",,
450,"Ilopango","El Salvador","El Salvador",450,"Caldera",6,30000
500,"Arhab, Harra of","Arabia-S","Yemen",3100,"Volcanic field",,
540,"Rabaul","New Britain-SW Pac","Papua New Guinea",688,"Pyroclastic shield",6,
590,"San Salvador","El Salvador","El Salvador",1893,"Stratovolcano",,
640,"Uwayrid, Harrat","Arabia-W","Saudi Arabia",1900,"Volcanic field",2,
710,"Pago","New Britain-SW Pac","Papua New Guinea",742,"Caldera",6,
764,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",4,80
766,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",3,
787,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,
800,"Dakataua","New Britain-SW Pac","Papua New Guinea",400,"Caldera",6,
800,"Bona-Churchill","Alaska-E","United States",5005,"Stratovolcano",6,
920,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
930,"Ceboruco","Mexico","Mexico",2280,"Stratovolcano",6,
934,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
950,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",,
1000,"Changbaishan","China-E","North Korea",2744,"Stratovolcano",7,
1050,"Santorini","Greece","Greece",329,"Shield volcano",,
1104,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",5,
1151,"Krisuvik","Iceland-SW","Iceland",379,"Crater rows",1,
1158,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,
1169,"Etna","Italy","Italy",3350,"Stratovolcano",,
1169,"Etna","Italy","Italy",3350,"Stratovolcano",,
1177,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",3,
1206,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",2,
1250,"Fentale","Africa-NE","Ethiopia",2007,"Stratovolcano",,
1262,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",3,
1280,"Quilotoa","Ecuador","Ecuador",3914,"Caldera",6,
1300,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,
1302,"Ischia","Italy","Italy",789,"Complex volcano",,
1311,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
1311,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1329,"Etna","Italy","Italy",3350,"Stratovolcano",3,
1329,"Etna","Italy","Italy",3350,"Stratovolcano",1,
1331,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,
1334,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1341,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",3,
1357,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
1362,"Oraefajokull","Iceland-SE","Iceland",2119,"Stratovolcano",5,220
1376,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1385,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1389,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",3,
1410,"Nasu","Honshu-Japan","Japan",1917,"Stratovolcano",3,180
1452,"Kuwae","Vanuatu-SW Pacific","Vanuatu",-2,"Caldera",6,
1471,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",5,
1477,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",6,
1485,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,1
1500,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
1510,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,1
1536,"Etna","Italy","Italy",3350,"Stratovolcano",3,1
1538,"Campi Flegrei","Italy","Italy",458,"Caldera",3,24
1540,"Augustine","Alaska-SW","United States",1252,"Lava dome",4,
1550,"Dukono","Halmahera-Indonesia","Indonesia",1185,"Complex volcano",3,
1564,"Gamkonora","Halmahera-Indonesia","Indonesia",1635,"Stratovolcano",3,
1565,"Pacaya","Guatemala","Guatemala",2552,"Complex volcano",3,
1566,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",3,
1570,"Mombacho","Nicaragua","Nicaragua",1344,"Stratovolcano",,400
1576,"Colima","Mexico","Mexico",3850,"Stratovolcano",3,
1580,"San Jorge","Azores","Portugal",1053,"Fissure vent",3,10
1580,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
1581,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",4,
1586,"Kelut","Java","Indonesia",1731,"Stratovolcano",5,10000
1587,"Merapi","Java","Indonesia",2947,"Stratovolcano",4,
1593,"Raung","Java","Indonesia",3332,"Stratovolcano",5,
1595,"Ruiz","Colombia","Colombia",5321,"Stratovolcano",4,636
1596,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,
1597,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,
1597,"Raung","Java","Indonesia",3332,"Stratovolcano",3,
1598,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,800
1598,"Banda Api","Banda Sea","Pacific Ocean",640,"Caldera",3,
1600,"Huaynaputina","Peru","Peru",4850,"Stratovolcano",6,1400
1606,"Hachijo-jima","Izu Is-Japan","Japan",854,"Stratovolcano",2,
1608,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",3,
1609,"Tengchong","China-S","China",2865,"Pyroclastic cone",,
1615,"Banda Api","Banda Sea","Pacific Ocean",640,"Caldera",3,
1617,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",3,
1625,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",5,
1629,"Grimsvotn","Iceland-NE","Iceland",1725,"Caldera",2,4
1630,"Furnas","Azores","Portugal",805,"Stratovolcano",4,200
1631,"Dama Ali","Africa-NE","Ethiopia",1068,"Shield volcano",,50
1631,"Vesuvius","Italy","Italy",1281,"Complex volcano",4,4000
1636,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",3,
1638,"Raung","Java","Indonesia",3332,"Stratovolcano",3,1000
1640,"Komaga-take","Hokkaido-Japan","Japan",1140,"Stratovolcano",5,
1646,"Makian","Halmahera-Indonesia","Indonesia",1357,"Stratovolcano",4,
1650,"Santorini","Greece","Greece",329,"Shield volcano",4,120
1659,"San Salvador","El Salvador","El Salvador",1893,"Stratovolcano",3,
1659,"Teon","Banda Sea","Pacific Ocean",655,"Stratovolcano",4,
1660,"Teon","Banda Sea","Pacific Ocean",655,"Stratovolcano",4,3
1660,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,
1660,"Long Island","New Guinea-NE of","Papua New Guinea",1280,"Complex volcano",6,2000
1663,"Usu","Hokkaido-Japan","Japan",731,"Stratovolcano",5,5
1664,"Unzen","Kyushu-Japan","Japan",1500,"Complex volcano",2,30
1664,"Iwo-Tori-shima","Ryukyu Is","Japan",217,"Complex volcano",,1
1669,"Etna","Italy","Italy",3350,"Stratovolcano",3,
1670,"Aoba","Vanuatu-SW Pacific","Vanuatu",1496,"Shield volcano",2,
1672,"Fayal","Azores","Portugal",1043,"Stratovolcano",2,3
1672,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,3000
1673,"Gamkonora","Halmahera-Indonesia","Indonesia",1635,"Stratovolcano",5,
1677,"La Palma","Canary Is","Spain",2426,"Stratovolcano",2,1
1679,"Zukur","Red Sea","Yemen",624,"Shield volcano",,
1682,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,4
1684,"Grimsvotn","Iceland-NE","Iceland",1725,"Caldera",2,1
1690,"Vesuvius","Italy","Italy",1281,"Complex volcano",,
1690,"Guntur","Java","Indonesia",2249,"Complex volcano",3,
1692,"Serua","Banda Sea","Pacific Ocean",641,"Stratovolcano",4,
1693,"Etna","Italy","Italy",3350,"Stratovolcano",,
1693,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,
1694,"Banda Api","Banda Sea","Pacific Ocean",640,"Caldera",3,
1698,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,
1698,"Cotopaxi","Ecuador","Ecuador",5911,"Stratovolcano",3,
1698,"Cereme","Java","Indonesia",3078,"Stratovolcano",3,
1706,"Tenerife","Canary Is","Spain",3715,"Stratovolcano",2,
1707,"Santorini","Greece","Greece",329,"Shield volcano",,
1707,"Fuji","Honshu-Japan","Japan",3776,"Stratovolcano",4,
1711,"Awu","Sangihe Is-Indonesia","Indonesia",1320,"Stratovolcano",3,3000
1712,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",2,
1714,"Vesuvius","Italy","Italy",1281,"Complex volcano",,
1716,"Kelut","Java","Indonesia",1731,"Stratovolcano",2,
1716,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",4,
1716,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",2,
1716,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",3,1
1717,"Kirishima","Kyushu-Japan","Japan",1700,"Shield volcano",3,1
1717,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",3,
1717,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",3,
1718,"Pico","Azores","Portugal",2351,"Stratovolcano",2,2
1721,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",5,
1721,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",1,15
1726,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",1,
1727,"Oraefajokull","Iceland-SE","Iceland",2119,"Stratovolcano",4,3
1729,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",1,
1729,"Krafla","Iceland-NE","Iceland",650,"Caldera",2,
